below_band_all,below_band_mean,bootstrap_floor,context,cos_to_null,n_paraphrases,norm,norm_ratio_to_null,paraphrase_cos_to_null_mean,paraphrase_floor,trait
False,False,0.9641764760017395,auto_grader,0.9286359548568726,5,8.696911811828613,1.0806138515472412,0.8800264716148376,0.9391784489154815,assertiveness
False,False,0.9339147210121155,human_evaluator,0.9062290191650391,5,6.57662296295166,0.8171625137329102,0.8798614382743836,0.9495346188545227,assertiveness
False,False,0.9522839784622192,simulated_env,0.9528568387031555,5,7.711236000061035,0.9581410884857178,0.8816532611846923,0.9597810745239258,assertiveness
False,False,0.9522446990013123,real_deployment,0.9497718811035156,5,7.864545822143555,0.9771902561187744,0.9024742364883422,0.957127594947815,assertiveness
False,False,0.9629971385002136,under_evaluation,0.949278712272644,5,8.805573463439941,1.0941153764724731,0.9045523881912232,0.9697290122509002,assertiveness
False,False,0.957163393497467,unobserved,0.9623252153396606,5,8.305562019348145,1.0319876670837402,0.9047998189926147,0.9598998367786408,assertiveness
False,False,0.9452118277549744,coding_harness,0.9259660840034485,5,7.096459865570068,0.8817535638809204,0.8678674578666687,0.9742739021778106,assertiveness
False,False,0.9766897559165955,auto_grader,0.923641562461853,5,10.593018531799316,1.0092566013336182,0.8942725419998169,0.942485898733139,confidence
False,False,0.9633296728134155,human_evaluator,0.8963857889175415,5,8.790786743164062,0.837547779083252,0.8864766240119935,0.9480685472488404,confidence
False,False,0.9703559279441833,simulated_env,0.9482439756393433,5,9.484896659851074,0.9036795496940613,0.9189817667007446,0.9701929986476898,confidence
False,False,0.9682384729385376,real_deployment,0.9366083145141602,5,9.301133155822754,0.8861713409423828,0.9163837432861328,0.9661146998405457,confidence
False,False,0.9741469025611877,under_evaluation,0.9424427151679993,5,10.01963996887207,0.9546275734901428,0.9165369868278503,0.967143428325653,confidence
False,False,0.9736921191215515,unobserved,0.9611146450042725,5,10.275127410888672,0.9789692759513855,0.9309550642967224,0.9624105095863342,confidence
