pair,trait,cos_between,cos_c1_null,cos_c2_null
auto_grader~human_evaluator,assertiveness,0.9319720268249512,0.9286359548568726,0.9062290191650391
auto_grader~human_evaluator,confidence,0.9284743666648865,0.923641562461853,0.8963857889175415
auto_grader~human_evaluator,deference,0.8818349838256836,0.8867348432540894,0.8325198888778687
auto_grader~human_evaluator,empathy,0.8999965190887451,0.9126678109169006,0.8714186549186707
auto_grader~human_evaluator,honesty,0.9378787875175476,0.9446280002593994,0.9244776368141174
auto_grader~human_evaluator,impulsivity,0.9496728181838989,0.951799213886261,0.9374885559082031
auto_grader~human_evaluator,risk_taking,0.9448421597480774,0.9470353126525879,0.9179353713989258
auto_grader~human_evaluator,warmth,0.9065079689025879,0.9226776957511902,0.8802274465560913
simulated_env~real_deployment,assertiveness,0.9674688577651978,0.9528568387031555,0.9497718811035156
simulated_env~real_deployment,confidence,0.9713085293769836,0.9482439756393433,0.9366083145141602
simulated_env~real_deployment,deference,0.9512288570404053,0.9346150159835815,0.9007247686386108
simulated_env~real_deployment,empathy,0.9684864282608032,0.9524035453796387,0.9384955167770386
simulated_env~real_deployment,honesty,0.9737476110458374,0.9586726427078247,0.9425166249275208
simulated_env~real_deployment,impulsivity,0.9741881489753723,0.9668000936508179,0.964755654335022
simulated_env~real_deployment,risk_taking,0.9779993295669556,0.9596058130264282,0.9452571272850037
simulated_env~real_deployment,warmth,0.9730581045150757,0.9394435882568359,0.9226486682891846
under_evaluation~unobserved,assertiveness,0.9668539762496948,0.949278712272644,0.9623252153396606
under_evaluation~unobserved,confidence,0.9624159932136536,0.9424427151679993,0.9611146450042725
under_evaluation~unobserved,deference,0.9445037245750427,0.9139634966850281,0.931384265422821
under_evaluation~unobserved,empathy,0.9564867615699768,0.9321424961090088,0.9526042938232422
under_evaluation~unobserved,honesty,0.9712822437286377,0.9548524618148804,0.9667646288871765
under_evaluation~unobserved,impulsivity,0.960108757019043,0.9595051407814026,0.9653516411781311
under_evaluation~unobserved,risk_taking,0.965019702911377,0.9517228007316589,0.9709438681602478
under_evaluation~unobserved,warmth,0.9635918140411377,0.941888689994812,0.9523037075996399
