pair,trait,cos_between,cos_c1_null,cos_c2_null
auto_grader~human_evaluator,assertiveness,0.8817151188850403,0.7977685928344727,0.8858016729354858
auto_grader~human_evaluator,confidence,0.8698506355285645,0.7141319513320923,0.8293942213058472
auto_grader~human_evaluator,deference,0.8696325421333313,0.70821213722229,0.8000938892364502
auto_grader~human_evaluator,empathy,0.8206285238265991,0.7101051211357117,0.7793091535568237
auto_grader~human_evaluator,honesty,0.8928065299987793,0.8172744512557983,0.909606397151947
auto_grader~human_evaluator,impulsivity,0.8880558609962463,0.80851149559021,0.906513512134552
auto_grader~human_evaluator,risk_taking,0.8896769285202026,0.741348385810852,0.8419297337532043
auto_grader~human_evaluator,warmth,0.8771854639053345,0.7493680119514465,0.8249502778053284
simulated_env~real_deployment,assertiveness,0.9277265071868896,0.8441951274871826,0.8649821877479553
simulated_env~real_deployment,confidence,0.9286407828330994,0.8766879439353943,0.8284847140312195
simulated_env~real_deployment,deference,0.9370515942573547,0.8420027494430542,0.8156102299690247
simulated_env~real_deployment,empathy,0.924210786819458,0.8895567059516907,0.82065349817276
simulated_env~real_deployment,honesty,0.9444729089736938,0.9214383363723755,0.8962735533714294
simulated_env~real_deployment,impulsivity,0.923015832901001,0.8976737856864929,0.9299988746643066
simulated_env~real_deployment,risk_taking,0.8993279933929443,0.910300612449646,0.8715748190879822
simulated_env~real_deployment,warmth,0.9447661638259888,0.8893806338310242,0.8657456636428833
under_evaluation~unobserved,assertiveness,0.8902002573013306,0.8159555196762085,0.8769848346710205
under_evaluation~unobserved,confidence,0.8653578162193298,0.8216449022293091,0.8614226579666138
under_evaluation~unobserved,deference,0.8336979150772095,0.7783382534980774,0.8506197333335876
under_evaluation~unobserved,empathy,0.8695932030677795,0.8019359111785889,0.8447829484939575
under_evaluation~unobserved,honesty,0.911746621131897,0.8623905181884766,0.8841984272003174
under_evaluation~unobserved,impulsivity,0.8863634467124939,0.8830182552337646,0.8786505460739136
under_evaluation~unobserved,risk_taking,0.8848118782043457,0.8548411130905151,0.9036318063735962
under_evaluation~unobserved,warmth,0.8917564153671265,0.8495521545410156,0.872507631778717
